الرواية,المؤلف,البلد,السنة,رابط,رابط آخر
الاعتراف,علي أبو الريش,ألإمارات ألعربية المتحدة,1982,,
النخلة والجيران,غائب طعمه فرمان,العراق,1965,,
العصفورية,غازى القصيبى,السعودية,1996,,
قنديل ام هاشم,يحيى حقي,مصر,1940,,
العودة إلى المنفى,أبو المعاطي أبو النجا,مصر,1969,,
وكالة عطيه,خيري شلبي,مصر,2008,,
تماس,عروسيه النالوتي,تونس,1995,,
سلطانة,غالب هلسا,الأردن,1987,,
مالك الحزين,إبراهيم أصلان,مصر,1983,,
طواحين بيروت,توفيق يوسف عواد,لبنان,1972,,
الفارس القتيل يترجل,إلياس الديري,لبنان,1979,,
عودة الروح,توفيق الحكيم,مصر,1933,,
الرهينة,زيد مطيع دماج,اليمن,1984,,
لعبة النسيان,محمد براده,المغرب,1987,,
الريح الشتوية,مبارك الربيع,المغرب,1977,,
دار الباشا,حسن نصر,تونس,1994,,
مدينة الرياح,موسى ولد ابنو,موريتانيا,1996,,
ايام الانسان السبعه,عبد الحكيم قاسم,مصر,1969,,
طائر الحوم,حليم بركات,سوريا,1999,,
حكاية زهرة,حنان الشيخ,لبنان,1980,,
ريح الجنوب,عبد الحميد بن هدوقه,الجزائر,1971,,
فردوس الجنون,أحمد يوسف داوود,سوريا,1996,,
وسمية تخرج من البحر,ليلى العثمان,الكويت,1986,,
اعترافات كاتم صوت,مؤنس الرزاز,الأردن,1986,,
رباعية بحري,محمد جبريل,مصر,1997,,
صنعاء مدينة مفتوحة,محمد عبد الولي,اليمن,1977,,
ثلاثية غرناطة,رضوى عاشور,مصر,1994,,
دعاء الكروان,طه حسين,مصر,1934,,
فساد الامكنه,صبري موسى,مصر,1973,,
السقا مات,يوسف السباعي,مصر,1952,,
تغريبه بنى حتحوت,مجيد طوبيا,مصر,1988,,
بعد الغروب,محمد عبد الحليم عبد الله,مصر,1949,,
قلوب على الاسلاك,عبد السلام العجيلي,سوريا,1974,,
عائشة,البشير بن سلامة,تونس,1982,,
طيور أيلول,ايميلي نصر الله,لبنان,1988,,
الدقلة في عراجينها,بشير خريف,تونس,1959,,
النخاس,صلاح الدين بوجاه,تونس,1995,,
باب الساحة,سحر خليفة,فلسطين,1990,,
سابع ايام الخلق,عبد الخالق الركابي,العراق,2000,,
شيء من الخوف,ثروت أباظه,مصر,1960,,
اللاز,الطاهر وطار,الجزائر,1974,,
المرأة والوردة,محمد زفزاف,المغرب,1972,,
ألف عام وعام من الحنين,رشيد بوجدره,الجزائر,1979,,
القبر المجهول,أحمد ولد عبد القادر,موريتانيا,1982,,
